title,installs,realInstalls,score,ratings,reviews,price,free,currency,offersIAP,genre,contentRating,containsAds,released,lastUpdatedOn
Games for kids 3 years old,"1,000,000+",4335412,4.09375,3326,11,0,TRUE,GBP,TRUE,Educational,PEGI 3,FALSE,20-Jan-19,20-Oct-22
Evidence 111 - Audio Game,"10,000+",16349,4.571429,198,5,0,TRUE,GBP,TRUE,Adventure,PEGI 7,FALSE,6-Nov-22,30-Oct-23
Goodreads,"10,000,000+",24965793,3.081967,141118,2168,0,TRUE,GBP,FALSE,Books & Reference,Parental guidance,TRUE,29-Apr-11,4-Mar-24
"Inkitt: Books, Novels, Stories","1,000,000+",4445898,4.4071426,75966,708,0,TRUE,GBP,FALSE,Books & Reference,Parental guidance,FALSE,7-Jan-17,14-Mar-24
Kobo Books - eBooks Audiobooks,"10,000,000+",26302004,3.9472318,284667,9067,0,TRUE,GBP,TRUE,Books & Reference,Parental guidance,FALSE,15-Jun-10,19-Mar-24
AlphaNovel — Books & Comics,"500,000+",806284,4.5466666,34813,122,0,TRUE,GBP,TRUE,Books & Reference,PEGI 16,TRUE,14-Jan-22,13-Mar-24
YouVersion Bible App + Audio,"100,000,000+",226717393,4.9079146,6884553,39480,0,TRUE,GBP,FALSE,Books & Reference,Parental guidance,FALSE,,15-Mar-24
Read with Phonics - Games,"100,000+",211134,3.8781164,361,0,0,TRUE,ILS,TRUE,Educational,PEGI 3,FALSE,15-Feb-16,6-Sep-23
"Smart Tales: Play, Learn, Grow","50,000+",98984,4.4130983,397,0,0,TRUE,ILS,TRUE,Education,PEGI 3,FALSE,21-Feb-20,22-Feb-24
Books of Wonder Hidden Objects,"1,000,000+",1363714,4.625,11720,5,0,TRUE,ILS,TRUE,Adventure,PEGI 3,TRUE,25-Dec-20,16-Jan-24
Hopster: ABC Games for Kids,"500,000+",723422,0,0,0,0,TRUE,ILS,TRUE,Entertainment,PEGI 3,FALSE,26-Oct-15,20-Mar-24
Pre-k Preschool Games For Kids,"50,000+",51566,4.418803,351,0,0,TRUE,ILS,TRUE,Educational,PEGI 3,FALSE,21-Dec-20,12-Mar-24
Lone Wolf Saga,"100,000+",318896,4.2380953,6983,7,0,TRUE,ILS,TRUE,Books & Reference,PEGI 3,FALSE,28-Mar-12,5-Sep-23
BOOKR Class Learn English,"100,000+",185329,5,1098,3,0,TRUE,ILS,TRUE,Education,PEGI 3,FALSE,12-Feb-19,17-Mar-24
Storytel: Audiobooks & Ebooks,"10,000,000+",34776109,4.3333335,440754,394,0,TRUE,ILS,TRUE,Books & Reference,Parental guidance,FALSE,1-Aug-17,22-Mar-24
Learn to Read - Duolingo ABC,"5,000,000+",5263720,4.29,7944,79,0,TRUE,CAD,FALSE,Education,Everyone,FALSE,12-May-22,6-Feb-24
StorySelf: kids loving story,"500,000+",699598,0,0,0,0,TRUE,CAD,TRUE,Education,Everyone,FALSE,24-Aug-21,10-Mar-24
Reading.com: Learn to Read,"50,000+",59808,4.285714,144,0,0,TRUE,CAD,TRUE,Education,Everyone,FALSE,13-Jul-23,12-Feb-24
Mario Kart Tour,"100,000,000+",130936554,4.186428,2137356,17684,0,TRUE,CAD,TRUE,Action,Everyone,FALSE,24-Sep-19,20-Sep-23
IReadArabic - Kids Learning,"500,000+",626074,4.82,3122,132,0,TRUE,EGP,TRUE,Education,Rated for 3+,FALSE,30-Oct-15,21-Mar-24
Highlights Monster Day - Meani,"100,000+",301699,4,1233,8,0,TRUE,EGP,TRUE,Educational,Rated for 3+,FALSE,24-May-16,21-Dec-20
Kids All in One (in English),"100,000+",380658,4.6,787,2,0,TRUE,EGP,TRUE,Education,Rated for 3+,TRUE,6-Dec-20,21-Jan-24
Tales Up: Your Adventures,"100,000+",163608,3.7300274,3627,1449,0,TRUE,CNY,FALSE,Role Playing,Rated for 7+,FALSE,20-Jan-21,17-Mar-24
WebNovel,"10,000,000+",22478360,4.19631,349752,144929,0,TRUE,CNY,FALSE,Books & Reference,Rated for 12+,TRUE,6-Apr-17,20-Mar-24
Linga: Books with translations,"100,000+",405213,4.588889,3567,926,0,TRUE,CNY,FALSE,Education,Rated for 12+,FALSE,20-May-21,23-Mar-24
AI Tales: Story Beyond Novel,"100,000+",125612,4.34,2008,917,0,TRUE,CNY,FALSE,Adventure,Rated for 16+,FALSE,22-Mar-21,13-Mar-24
Writer Simulator 2,"500,000+",594978,4.3141856,97143,68231,0,TRUE,CNY,FALSE,Arcade,Rated for 3+,TRUE,30-Mar-18,18-Dec-23
Home Base,"100,000+",129411,4.3505154,1939,1076,0,TRUE,CNY,FALSE,Role Playing,Rated for 3+,FALSE,13-Feb-19,6-Mar-24
PocketBook reader - any books,"5,000,000+",7234392,4.265218,91114,34199,0,TRUE,CNY,FALSE,Books & Reference,Rated for 3+,FALSE,23-May-13,20-Nov-23
Rebel Inc.,"10,000,000+",11539165,4.5692754,443263,22634,0,TRUE,USD,TRUE,Simulation,Everyone 10+,FALSE,7-Feb-19,27-Nov-23
Delight Games Premium Library,"50,000+",92883,4.776119,7871,1700,39.99,FALSE,USD,FALSE,Role Playing,Teen,FALSE,27-Apr-15,28-Feb-24
Monument Valley,"5,000,000+",5132544,4.7639384,240730,13871,3.99,FALSE,USD,TRUE,Puzzle,Everyone,FALSE,14-May-14,24-Oct-23
Asphalt 9: Legends,"100,000,000+",128785653,4.4592805,2758211,69352,0,TRUE,USD,TRUE,Racing,Everyone 10+,TRUE,25-Jul-18,13-Mar-24
Picsart AI Photo Editor,"1,000,000,000+",1152863067,4.022599,12000488,454138,0,TRUE,USD,TRUE,Photography,Teen,TRUE,4-Nov-11,18-Mar-24
Iron Marines Offline Strategy,"1,000,000+",2634301,4.6632323,107879,5688,0,TRUE,USD,TRUE,Strategy,Teen,FALSE,13-Sep-17,23-Aug-23
SOULS,"1,000,000+",3732778,4.309345,83274,2845,0,TRUE,USD,TRUE,Role Playing,Everyone 10+,FALSE,21-Aug-23,6-Mar-24
Mighty DOOM,"5,000,000+",5174070,4.6395917,328378,20201,0,TRUE,USD,TRUE,Action,Mature 17+,TRUE,21-Mar-23,15-Mar-24
Elevate - Brain Training Games,"10,000,000+",21495769,4.627522,451562,47221,0,TRUE,USD,TRUE,Education,Everyone,FALSE,4-Jun-14,18-Mar-24
Eternium,"10,000,000+",23686657,4.780875,2613382,135708,0,TRUE,USD,TRUE,Role Playing,Teen,FALSE,25-Jun-14,8-Mar-24
Terraria,"5,000,000+",5372951,4.5678167,384062,64602,4.99,FALSE,USD,FALSE,Adventure,Teen,FALSE,25-Sep-13,20-Sep-23
Sky: Children of the Light,"10,000,000+",26152455,4.6489124,1012997,30651,0,TRUE,USD,TRUE,Role Playing,Everyone 10+,FALSE,6-Apr-20,19-Mar-24
Diablo Immortal,"10,000,000+",14599991,4.6533628,1418579,56375,0,TRUE,USD,TRUE,Role Playing,Mature 17+,FALSE,31-May-22,7-Mar-24
SimCity BuildIt,"100,000,000+",126867472,4.2468853,5486393,187098,0,TRUE,USD,TRUE,Simulation,Everyone 10+,TRUE,15-Dec-14,7-Mar-24
Alto's Adventure,"50,000,000+",57545601,4.322542,654592,16701,0,TRUE,USD,TRUE,Action,Everyone,TRUE,10-Feb-16,2-Nov-23
Need for Speed™ No Limits,"100,000,000+",258633606,4.4160433,5106485,114989,0,TRUE,USD,TRUE,Racing,Everyone 10+,FALSE,16-Sep-15,5-Mar-24
Idle Miner Tycoon: Gold & Cash,"100,000,000+",137817736,4.5102806,5084899,267275,0,TRUE,USD,TRUE,Simulation,Everyone,TRUE,30-Jun-16,22-Mar-24
Super Mario Run,"100,000,000+",240992092,3.9493432,1672095,91698,0,TRUE,USD,TRUE,Action,Everyone,FALSE,22-Mar-17,26-Feb-24
Art Puzzle - Jigsaw Art Games,"50,000,000+",60875051,4.3479137,663403,37614,0,TRUE,USD,TRUE,Puzzle,Everyone,TRUE,7-Sep-20,1-Mar-24
MONOPOLY GO!,"50,000,000+",59500974,4.6549215,1934356,178641,0,TRUE,USD,TRUE,Board,Everyone,FALSE,11-Apr-23,21-Mar-24
Lapse: A Forgotten Future,"10,000,000+",14438313,4.679499,664654,21791,0,TRUE,USD,TRUE,Strategy,Teen,TRUE,2-Jun-17,6-Oct-22
Candy Crush Saga,"1,000,000,000+",1725479649,4.5994334,37320760,2078195,0,TRUE,USD,TRUE,Casual,Everyone,TRUE,15-Nov-12,7-Mar-24
"Egg, Inc.","10,000,000+",26749421,4.6648064,1345183,217354,0,TRUE,USD,TRUE,Simulation,Everyone,TRUE,13-Jul-16,6-Mar-24
Shadow Fight 3 - RPG fighting,"100,000,000+",168549668,4.556335,4131462,73421,0,TRUE,USD,TRUE,Role Playing,Everyone 10+,TRUE,16-Nov-17,21-Mar-24
Honkai: Star Rail,"10,000,000+",21619986,4.2241926,333843,7770,0,TRUE,USD,TRUE,Adventure,Teen,FALSE,6-Apr-23,24-Jan-24
Call of Duty: Mobile Season 3,"100,000,000+",298993204,4.306585,15952922,789689,0,TRUE,USD,TRUE,Action,Mature 17+,TRUE,30-Sep-19,29-Jan-24
CSR 2 Realistic Drag Racing,"50,000,000+",62571366,4.5946956,5005479,624810,0,TRUE,USD,TRUE,Racing,Teen,TRUE,29-Jun-16,21-Mar-24
Clash of Clans,"500,000,000+",769749584,4.5383058,61020376,1974630,0,TRUE,USD,TRUE,Strategy,Everyone 10+,FALSE,30-Sep-13,1-Mar-24
CapCut - Video Editor,"500,000,000+",937005103,4.4098425,8673962,78603,0,TRUE,USD,TRUE,Video Players & Editors,Everyone,FALSE,10-Apr-20,22-Mar-24
YouTube,"10,000,000,000+",15975913384,4.132586,154857049,2871966,0,TRUE,USD,TRUE,Video Players & Editors,Teen,TRUE,20-Oct-10,22-Mar-24
"Canva: Design, Photo & Video","100,000,000+",397809168,4.7882195,15868164,80864,0,TRUE,USD,TRUE,Art & Design,Everyone 10+,FALSE,27-Nov-17,20-Mar-24
Snapchat,"1,000,000,000+",2914227153,4.046099,34172283,1754117,0,TRUE,USD,TRUE,Communication,Teen,TRUE,29-Oct-12,21-Mar-24
TikTok,"1,000,000,000+",3033162175,4.2503824,62214269,2179808,0,TRUE,USD,TRUE,Social,Teen,TRUE,9-Jul-15,21-Mar-24
Instagram,"5,000,000,000+",5435563101,4.007543,152306389,4494632,0,TRUE,USD,TRUE,Social,Teen,TRUE,3-Apr-12,18-Mar-24
Video Editor & Maker - InShot,"500,000,000+",667561818,4.8233232,20021913,214514,0,TRUE,USD,TRUE,Photography,Everyone,TRUE,5-Mar-14,1-Mar-24
Netflix,"1,000,000,000+",2557625292,4.229326,14446339,899662,0,TRUE,USD,FALSE,Entertainment,Teen,FALSE,5-May-11,21-Mar-24
WhatsApp Messenger,"5,000,000,000+",8940822421,4.232568,187621032,1927882,0,TRUE,USD,FALSE,Communication,Everyone,FALSE,18-Oct-10,12-Mar-24
Google Photos,"5,000,000,000+",9582526554,4.46783,49698228,1289932,0,TRUE,USD,FALSE,Photography,Everyone,FALSE,28-May-15,20-Mar-24
Google Chrome,"10,000,000,000+",15231555768,4.0629992,44654130,971632,0,TRUE,USD,FALSE,Communication,Everyone,FALSE,7-Feb-12,19-Mar-24
LinkedIn: Jobs & Business News,"1,000,000,000+",1516574087,4.1397934,2819868,91395,0,TRUE,USD,TRUE,Business,Everyone,TRUE,7-Apr-11,20-Mar-24
Google Maps,"10,000,000,000+",15127926864,3.9719706,17727205,639662,0,TRUE,USD,FALSE,Travel & Local,Everyone,TRUE,,21-Mar-24
Spotify: Music and Podcasts,"1,000,000,000+",2000939896,4.4036765,30742235,1711488,0,TRUE,USD,TRUE,Music & Audio,Teen,TRUE,27-May-14,22-Mar-24
Dropbox: Secure Cloud Storage,"1,000,000,000+",1157377455,4.394838,2279631,85445,0,TRUE,USD,TRUE,Productivity,Everyone,FALSE,4-May-10,12-Mar-24
Disney+,"100,000,000+",355288934,4.443471,3788920,164266,0,TRUE,USD,TRUE,Entertainment,Teen,FALSE,8-Nov-19,18-Mar-24
Messenger,"5,000,000,000+",6422072445,4.0464797,88500726,2397667,0,TRUE,USD,TRUE,Communication,Everyone,FALSE,30-Jan-14,19-Mar-24
Pinterest,"1,000,000,000+",1022049410,4.534102,10319514,676661,0,TRUE,USD,FALSE,Lifestyle,Mature 17+,TRUE,14-Aug-12,19-Mar-24
Facebook,"5,000,000,000+",9438859572,3.6774335,139493830,4196613,0,TRUE,USD,TRUE,Social,Teen,TRUE,,19-Mar-24
Forest: Focus for Productivity,"10,000,000+",35097832,4.7150297,657763,8901,0,TRUE,USD,TRUE,Productivity,Everyone,TRUE,25-Aug-14,11-Mar-24
Google Messages,"5,000,000,000+",5867016567,4.2968884,12605382,456341,0,TRUE,USD,FALSE,Communication,Everyone,FALSE,12-Nov-14,20-Mar-24
Lightroom Photo & Video Editor,"100,000,000+",349148718,4.546087,2542324,13444,0,TRUE,USD,TRUE,Photography,Everyone,FALSE,14-Jan-15,25-Mar-24
Google Calendar,"5,000,000,000+",6069674954,4.565494,2752043,86903,0,TRUE,USD,FALSE,Productivity,Everyone,FALSE,17-Oct-12,25-Mar-24
Telegram,"1,000,000,000+",1855339882,4.2609944,13655171,150919,0,TRUE,USD,TRUE,Communication,Mature 17+,FALSE,6-Sep-13,14-Mar-24
ChatGPT,"50,000,000+",72983993,4.719805,629411,11348,0,TRUE,USD,TRUE,Productivity,Teen,FALSE,21-Jul-23,22-Mar-24
Google Meet,"5,000,000,000+",8116315012,4.5338125,10757097,686593,0,TRUE,USD,FALSE,Communication,Everyone,FALSE,16-Aug-16,21-Mar-24
Gmail,"10,000,000,000+",14726984264,4.165519,12908821,401731,0,TRUE,USD,FALSE,Communication,Everyone,TRUE,21-Sep-10,21-Mar-24
YouTube Music,"1,000,000,000+",3842662901,4.431109,5375714,399863,0,TRUE,USD,TRUE,Music & Audio,Teen,TRUE,12-Nov-15,22-Mar-24
Lemmings,"5,000,000+",9264446,4.1218657,169812,7886,0,TRUE,GBP,TRUE,Puzzle,PEGI 3,TRUE,17-Dec-18,20-Mar-24
Pokémon GO,"100,000,000+",491223076,4.11859,15445596,158982,0,TRUE,GBP,TRUE,Adventure,PEGI 7,FALSE,14-Jul-16,18-Mar-24
Among Us,"500,000,000+",617570113,3.8219287,13461198,95049,0,TRUE,GBP,TRUE,Action,PEGI 7,TRUE,15-Jun-18,29-Feb-24
The Simpsons™:  Tapped Out,"100,000,000+",138012676,3.987596,4084409,82921,0,TRUE,GBP,TRUE,Casual,PEGI 12,FALSE,23-Jan-13,19-Mar-24
Project Makeover,"100,000,000+",151084824,4.4103403,1005986,5186,0,TRUE,GBP,TRUE,Casual,PEGI 3,TRUE,15-Nov-20,21-Mar-24
Scrabble® GO-Classic Word Game,"10,000,000+",32011108,3.7780998,500363,16423,0,TRUE,GBP,TRUE,Word,PEGI 3,TRUE,27-Mar-19,22-Mar-24
UNO!™,"100,000,000+",177076968,4.1737027,2042954,8234,0,TRUE,GBP,TRUE,Card,PEGI 3,TRUE,16-Jan-19,20-Mar-24
Angry Birds 2,"100,000,000+",274707093,3.9698336,6229288,34758,0,TRUE,GBP,TRUE,Casual,PEGI 3,TRUE,23-Jul-15,23-Feb-24
Fishdom,"100,000,000+",385897308,4.500925,6401787,37953,0,TRUE,GBP,TRUE,Puzzle,PEGI 3,TRUE,2-Mar-16,6-Mar-24
Royal Match,"100,000,000+",179758364,4.5407257,5464282,11368,0,TRUE,GBP,TRUE,Puzzle,PEGI 3,FALSE,18-Jul-20,19-Mar-24
KineMaster-Video Editor&Maker,"100,000,000+",477584393,4.0679517,5711864,11682,0,TRUE,GBP,TRUE,Video Players & Editors,PEGI 3,TRUE,26-Dec-13,20-Mar-24
Zoom - One Platform to Connect,"1,000,000,000+",1113200554,4.105263,4247263,9910,0,TRUE,GBP,TRUE,Business,Parental guidance,FALSE,24-Jan-13,9-Mar-24
Microsoft 365 (Office),"500,000,000+",989244790,4.669514,4736405,9096,0,TRUE,GBP,TRUE,Productivity,PEGI 3,TRUE,16-Feb-20,21-Mar-24
Skype,"1,000,000,000+",2066073930,4.148517,11490481,148361,0,TRUE,GBP,TRUE,Communication,Parental guidance,TRUE,4-Oct-10,19-Mar-24
Amazon Prime Video,"500,000,000+",635116024,3.6804974,4253960,29082,0,TRUE,GBP,TRUE,Entertainment,Parental guidance,TRUE,28-Aug-17,11-Mar-24
Zooba: Fun Battle Royale Games,"100,000,000+",109938129,4.386219,1431355,9488,0,TRUE,ILS,TRUE,Action,PEGI 7,FALSE,2-Oct-19,22-Mar-24
Stumble Guys,"100,000,000+",311321146,4.0864305,5857181,6553,0,TRUE,ILS,TRUE,Action,PEGI 3,TRUE,24-Sep-20,8-Mar-24
Hay Day,"100,000,000+",314194165,4.5455246,13072100,38531,0,TRUE,ILS,TRUE,Casual,PEGI 3,TRUE,13-Nov-13,19-Mar-24
Genshin Impact,"50,000,000+",98427217,3.6548536,4621036,2840,0,TRUE,ILS,TRUE,Adventure,PEGI 12,FALSE,26-Sep-20,3-Mar-24
Hyperforma,"5,000,000+",5507774,4.74,113983,59,0,TRUE,ILS,TRUE,Arcade,PEGI 3,TRUE,7-Oct-20,15-Jan-24
Clash Royale,"500,000,000+",517023723,4.3529053,37310465,59821,0,TRUE,ILS,TRUE,Strategy,PEGI 7,FALSE,1-Mar-16,21-Mar-24
DATA WING,"5,000,000+",8695141,4.882353,415164,586,0,TRUE,ILS,FALSE,Racing,PEGI 12,FALSE,16-Aug-17,3-Mar-22
Hearthstone,"50,000,000+",54841133,4.220713,1947379,1507,0,TRUE,ILS,TRUE,Card,PEGI 7,FALSE,16-Dec-14,5-Mar-24
Flipboard: The Social Magazine,"500,000,000+",840375937,3.8979099,1422212,5010,0,TRUE,ILS,FALSE,News & Magazines,Parental guidance,TRUE,21-Jun-12,8-Feb-24
Google Drive,"10,000,000,000+",10322606922,4.156396,10112017,5483,0,TRUE,ILS,TRUE,Productivity,PEGI 3,FALSE,27-Apr-11,20-Mar-24
Brawl Stars,"100,000,000+",372880626,4.1905622,22640293,85256,0,TRUE,ILS,TRUE,Action,PEGI 7,FALSE,12-Dec-18,21-Mar-24
Microsoft Teams,"100,000,000+",422516802,4.254524,7295717,4146,0,TRUE,ILS,FALSE,Business,PEGI 3,FALSE,2-Nov-16,21-Mar-24
Free Fire: The Chaos,"1,000,000,000+",1570792982,4.494522,118063468,16540,0,TRUE,ILS,TRUE,Action,PEGI 12,FALSE,7-Dec-17,14-Jan-24
NYT Games: Word Games & Sudoku,"1,000,000+",4860792,4.5785713,37402,419,0,TRUE,CAD,TRUE,Word,Everyone,FALSE,17-Nov-16,25-Mar-24
Guardian Tales,"5,000,000+",9871651,4.5370674,682999,2370,0,TRUE,CAD,TRUE,Role Playing,Teen,FALSE,28-Apr-20,12-Mar-24
Amazon Shopping,"500,000,000+",780807223,4.2192597,3720131,18387,0,TRUE,CAD,TRUE,Shopping,Teen,TRUE,10-Dec-14,13-Mar-24
Reddit,"100,000,000+",154217481,2.5614407,3060858,38227,0,TRUE,CAD,TRUE,Social,Mature 17+,TRUE,6-Apr-16,18-Mar-24
Tiny Room Stories Town Mystery,"10,000,000+",21996195,4.6634145,345317,469,0,TRUE,EGP,TRUE,Puzzle,Rated for 7+,TRUE,19-Jun-19,18-Jan-24
Photoroom AI Photo Editor,"50,000,000+",88116602,4.6157336,2009614,5721,0,TRUE,EGP,TRUE,Photography,Rated for 3+,FALSE,16-Dec-20,22-Mar-24
Alto's Odyssey,"10,000,000+",23336983,4.54023,269885,628,0,TRUE,EGP,TRUE,Action,Rated for 3+,TRUE,25-Jul-18,13-Dec-23
Dragon City Mobile,"100,000,000+",210808573,4.5962687,10069957,24945,0,TRUE,EGP,TRUE,Simulation,Rated for 7+,TRUE,3-Jul-13,11-Mar-24
VivaCut - Pro Video Editor,"100,000,000+",188783308,4.363698,1349445,102647,0,TRUE,EGP,TRUE,Video Players & Editors,Rated for 3+,TRUE,27-Jun-19,18-Mar-24
Photo Editor - Lumii,"50,000,000+",74026667,4.775,890388,10531,0,TRUE,EGP,TRUE,Photography,Rated for 3+,TRUE,30-Sep-18,8-Mar-24
Duolingo: Language Lessons,"500,000,000+",543306673,4.7019515,22851849,8349312,0,TRUE,CNY,FALSE,Education,Rated for 3+,TRUE,29-May-13,20-Mar-24
"Good Pizza, Great Pizza","100,000,000+",169326674,4.5745535,1562581,648889,0,TRUE,CNY,FALSE,Casual,Rated for 3+,TRUE,14-Feb-18,22-Mar-24
Soul Knight,"50,000,000+",83604840,4.3981414,1616810,719415,0,TRUE,CNY,FALSE,Action,Rated for 7+,TRUE,1-Sep-17,13-Mar-24
PowerDirector - Video Editor,"100,000,000+",128643173,4.45842,1716651,828917,0,TRUE,CNY,FALSE,Video Players & Editors,Rated for 3+,TRUE,26-Apr-21,15-Mar-24
Habitica: Gamify Your Tasks,"1,000,000+",4964916,4.7866855,31436,11637,0,TRUE,CNY,FALSE,Productivity,Rated for 3+,TRUE,29-Sep-17,5-Mar-24
Eldrum: Red Tide - Text RPG,"100,000+",140552,4.4355826,1598,666,0,TRUE,CNY,FALSE,Role Playing,Rated for 12+,FALSE,21-Sep-22,24-Mar-24
"Eldrum: Untold, Text-Based RPG","100,000+",182285,3.882927,2051,874,0,TRUE,CNY,FALSE,Role Playing,Rated for 16+,FALSE,18-Mar-20,21-Jan-24
